x,y
53,97
54,97
55,97
149,97
0,98
1,98
48,98
49,98
50,98
54,98
55,98
56,98
149,98
0,99
1,99
46,99
47,99
48,99
49,99
55,99
56,99
57,99
149,99
0,100
1,100
45,100
46,100
47,100
48,100
56,100
57,100
58,100
149,100
0,101
1,101
45,101
46,101
47,101
57,101
58,101
59,101
149,101
0,102
1,102
45,102
46,102
58,102
59,102
149,102
0,103
1,103
45,103
46,103
47,103
57,103
58,103
59,103
149,103
0,104
1,104
46,104
47,104
48,104
56,104
57,104
58,104
59,104
149,104
0,105
1,105
47,105
48,105
49,105
55,105
56,105
57,105
149,105
0,106
1,106
19,106
48,106
49,106
50,106
54,106
55,106
56,106
149,106
0,107
1,107
18,107
19,107
20,107
21,107
22,107
23,107
24,107
25,107
26,107
27,107
49,107
50,107
51,107
52,107
53,107
54,107
55,107
149,107
0,108
1,108
18,108
19,108
20,108
21,108
22,108
23,108
24,108
25,108
26,108
27,108
28,108
29,108
30,108
31,108
32,108
33,108
34,108
49,108
50,108
51,108
52,108
53,108
54,108
149,108
0,109
1,109
18,109
19,109
27,109
28,109
29,109
30,109
31,109
32,109
33,109
34,109
35,109
36,109
37,109
38,109
39,109
40,109
41,109
50,109
51,109
52,109
53,109
149,109
0,110
1,110
18,110
19,110
34,110
35,110
36,110
37,110
38,110
39,110
40,110
41,110
42,110
43,110
44,110
45,110
46,110
47,110
48,110
149,110
0,111
1,111
18,111
19,111
42,111
43,111
44,111
45,111
46,111
47,111
48,111
49,111
149,111
0,112
1,112
17,112
18,112
19,112
